Sample_ID,site,plot.unq,n.treat,label,weevil,succession,weevil_succ,weevil_site,block,block_,leaf_d15n,leaf_d13c,leaf_c,leaf_n,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcoverwillow,plantcoverallwoody,plantcover.std.error
N9S,Norway,9_,16kgN,Norway9W16,W,Secondary,SecondaryW,NorwayW,12,12_,-5.53,-28.53,49.57,1.22,-27.99,4.9,-2.82,0.301193232,,,,,,,,,,,5.64,16.71,1.0984,1.0984,219.7,294.7834927,478.9,,,,,,,,,
W14S,West,14_,0kgN,West14NW0,NW,Primary,PrimaryNW,WestNW,6,6_,-4.37,-29.56,50.41,1.52,-28.33,3.3,-2.15,0.192282027,1.422632625,0.099195375,0.003556582,0.000247988,3.176666667,0.233333333,0.0775,0.715352963,0.022047928,0.015,5.88,13.21,1.24,1.535,155.3,133.2192365,281.5,8,0,8,281.6244606,0,281.6244606,1.79375,1.79375,0.129774874
W1S,West,1_,0kgN,West1NW0,NW,Primary,PrimaryNW,WestNW,4,4_,-4.32,-28.74,54.21,1.52,-28.17,6.3,-0.55,0.233545763,2.370239268,0.170567195,0.005925598,0.000426418,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,2.45625,0.351718253
W8S,West,8_,0kgN,West8NW0,NW,Primary,PrimaryNW,WestNW,5,5_,-5.56,-28.97,48.8,1.39,-27.87,3.6,-1.95,0.140166337,1.770187125,0.14849725,0.004425468,0.000371243,1.825625,0.1375,0.045625,0.340822191,0.039856513,0.014908576,5.75,13.22,1.42,1.459,146.1,152.665695,208.1,11,1,12,207.947437,2.269800692,210.2172377,1.528409091,2.178409091,0.134249713
W10S,West,10_,16kgN,West10NW16,NW,Primary,PrimaryNW,WestNW,5,5_,-1.48,-28.05,50,1.33,-28.24,3.7,-1.54,0.201073913,1.48611766,0.131537234,0.003715294,0.000328843,2.442083333,0.085,0.024583333,0.868606023,0.031490739,0.008549285,5.81,15.01,1.34,1.239,138.4,161.3679067,387.1,12,0,12,469.7035232,0,469.7035232,1.935714286,1.935714286,0.264535726
W13S,West,13_,16kgN,West13NW16,NW,Primary,PrimaryNW,WestNW,6,6_,-1.62,-27.42,53.8,1.42,-28.03,5.6,-0.07,0.208127096,2.737420667,0.195065333,0.006843552,0.000487663,4.526363636,0.063636364,0.017727273,0.804603966,0.01351499,0.005604934,5.8,15.32,1.38,1.373,85.6,164.0932383,543.7,8,0,8,543.6713012,0,543.6713012,2.5859375,5.9109375,0.213121956
W5S,West,5_,16kgN,West5NW16,NW,Primary,PrimaryNW,WestNW,4,4_,-1.26,-27.83,48.28,1.34,-27.47,7.3,-0.96,0.369591667,3.532031333,0.273460222,0.008830078,0.000683651,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,2.215234375,0.152495484
W17S,West,17_,8kgN,West17NW8,NW,Primary,PrimaryNW,WestNW,6,6_,-3.5,-28.3,48.01,1.56,-28.63,3,-1.85,0.190197691,1.587306,0.136661385,0.003968265,0.000341653,2.916363636,0.058181818,0.016818182,0.55395134,0.013319035,0.004862787,5.55,13.54,1.45,1.488,148.7,205.4444516,433.9,10,1,11,502.9318345,2.269800692,505.2016352,1.97625,2.62625,0.153086872
W2S,West,2_,8kgN,West2NW8,NW,Primary,PrimaryNW,WestNW,4,4_,-2.75,-27.09,50.35,1.75,-27.82,4.9,-0.93,0.360687554,3.741732727,0.288635152,0.009354332,0.000721588,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,4.564285714,0.273146194
W9S,West,9_,8kgN,West9NW8,NW,Primary,PrimaryNW,WestNW,5,5_,-2.97,-28.36,46.83,1.55,-28.55,8.2,-2.03,0.32161368,1.747655077,0.143419846,0.004369138,0.00035855,2.68875,0.0534375,0.04,0.706495217,0.011886155,0.014330288,5.82,18.54,1.23,1.459,117.1,136.5414707,359.6,10,2,12,401.3553476,71.48694083,472.8422884,1.9055,1.9055,0.205942211
W11S,West,11_,0kgN,West11W0,W,Primary,PrimaryW,WestW,5,5_,-4.74,-28.4,44.87,1.26,-27.97,3.2,-1.8,0.203305302,1.819881,0.1515161,0.004549703,0.00037879,2.482727273,0.027045455,0.010772727,0.362336084,0.004619846,0.004347211,5.93,14.33,1.44,1.554,66.3,84.40674062,29.7,6,1,7,22.1768167,2.717477645,24.89429435,0.9775,1.515,0.253703814
W4S,West,4_,0kgN,West4W0,W,Primary,PrimaryW,WestW,4,4_,-3.28,-28.67,50.64,1.8,-27.8,2.9,-1.54,0.417797682,1.607533,0.2744207,0.004018833,0.000686052,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,2.0575,0.336818757
W12S,West,12_,16kgN,West12W16,W,Primary,PrimaryW,WestW,5,5_,-1.78,-28.94,50.48,1.45,-28.18,5.1,-1.37,0.383876289,5.748370615,0.411525077,0.014370927,0.001028813,4.362777778,0.036111111,0.010277778,0.314906414,0.010300276,0.004990346,5.9,10.21,1.37,1.464,68.9,198.2659124,28.8,10,1,11,152.7580578,0.567450173,153.325508,1.490625,1.878125,0.36329001
W6S,West,6_,16kgN,West6W16,W,Primary,PrimaryW,WestW,4,4_,-2.34,-27.23,44.52,1.74,-27.99,8.1,-1.02,0.506973262,3.681797539,0.233101692,0.009204494,0.000582754,3.981111111,0.025833333,0.016444444,0.525024158,0.005496211,0.006932434,5.72,16.32,1.21,1.278,174.3,350.3189968,294.3,9,1,10,391.7227532,2.847068342,394.5698216,1.9625,3.8375,0.160619461
W15S,West,15_,8kgN,West15W8,W,Primary,PrimaryW,WestW,6,6_,-1.92,-29.34,41.15,1.35,-28.4,2.3,-2.91,0.125880597,1.5894141,0.1075861,0.003973535,0.000268965,2.2775,0.029,0.008,0.366463391,0.005847602,0.004374802,5.78,15.44,1.17,1.561,220.2,197.3941204,98.7,10,0,10,118.058303,0,118.058303,1.17,1.17,0.143858051
W3S,West,3_,8kgN,West3W8,W,Primary,PrimaryW,WestW,4,4_,-2.16,-26.49,40.2,1.83,-27.9,3.7,-0.63,0.255831193,1.2996933,0.1149396,0.003249233,0.000287349,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.980357143,0.279306874
W7S,West,7_,8kgN,West7W8,W,Primary,PrimaryW,WestW,5,5_,,,,,-27.39,5,-2.49,0.250691275,1.4353224,0.1081973,0.003588306,0.000270493,2.441428571,0.041071429,0.013928571,0.931470269,0.012414675,0.007576144,5.67,15.22,1.75,1.554,54.2,104.2223363,4,2,0,2,3.953301655,0,3.953301655,0.6525,0.6525,0.085
